Playing Time,Performance,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,,,,,,,,,,,
?,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,,,,,,,,,,
73,Ferran Jutglà,es ESP,"FW,MF",Celta Vigo,27-038,1999,19,14,"1,020",11.3,4,1,5,4,0,0,4,0,0.35,0.09,0.44,0.35,0.44,Matches
74,Takefusa Kubo,jp JPN,MF,Real Sociedad,24-280,2001,18,13,"1,179",13.1,2,3,5,2,0,0,0,0,0.15,0.23,0.38,0.15,0.38,Matches
75,Borja Mayoral,es ESP,FW,Getafe,28-340,1997,14,12,"1,041",11.6,4,1,5,4,0,1,0,0,0.35,0.09,0.43,0.35,0.43,Matches
76,Azzedine Ounahi,ma MAR,MF,Girona,25-326,2000,13,9,858,9.5,3,2,5,3,0,0,5,0,0.31,0.21,0.52,0.31,0.52,Matches
77,Ayoze Pérez,es ESP,FW,Villarreal,32-225,1993,18,9,819,9.1,2,3,5,2,0,0,3,0,0.22,0.33,0.55,0.22,0.55,Matches
78,Largie Ramazani,be BEL,MF,Valencia,25-012,2001,16,4,548,6.1,4,1,5,1,3,3,4,0,0.66,0.16,0.82,0.16,0.33,Matches
79,Raúl,es ESP,FW,Osasuna,25-128,2000,26,5,778,8.6,5,0,5,5,0,0,1,1,0.58,0,0.58,0.58,0.58,Matches
80,Iván Romero,es ESP,"FW,MF",Levante,24-335,2001,23,22,"1,742",19.4,4,1,5,4,0,0,3,0,0.21,0.05,0.26,0.21,0.26,Matches
81,Aitor Ruibal,es ESP,"DF,MF",Real Betis,29-354,1996,21,15,"1,347",15,4,1,5,4,0,0,3,0,0.27,0.07,0.33,0.27,0.33,Matches
82,Djibril Sow,ch SUI,MF,Sevilla,29-033,1997,23,20,"1,565",17.4,4,1,5,4,0,0,3,0,0.23,0.06,0.29,0.23,0.29,Matches
